rounds;hashValues;maxHashValues;leafValues;maxLeafValues
1;0;0;1;1
2;0;0;1;1
3;0;0;2;2
4;1;1;1;2
5;0;1;2;2
6;1;1;1;2
7;0;1;2;2
8;2;2;1;2
9;1;2;4;4
10;3;3;4;4
11;3;3;4;4
12;1;3;1;4
13;0;3;2;4
14;1;3;1;4
15;0;3;2;4
16;2;3;1;4
17;1;3;4;4
18;3;3;4;4
19;3;3;4;4
20;1;3;1;4
21;0;3;2;4
22;1;3;1;4
23;0;3;2;4
24;2;3;1;4
25;1;3;4;4
26;3;3;4;4
27;3;3;4;4
28;1;3;1;4
29;0;3;2;4
30;1;3;1;4
31;0;3;2;4
32;3;3;1;4
33;0;3;1;4
34;0;3;1;4
35;0;3;3;4
36;4;4;4;4
37;1;4;5;5
38;5;5;4;5
39;2;5;5;5
40;7;7;4;5
41;1;7;4;5
42;3;7;4;5
43;3;7;5;5
44;4;7;4;5
45;1;7;5;5
46;5;7;4;5
47;2;7;5;5
48;8;8;4;5
49;1;8;4;5
50;3;8;4;5
51;3;8;4;5
52;1;8;1;5
53;0;8;2;5
54;1;8;1;5
55;0;8;2;5
56;2;8;1;5
57;1;8;4;5
58;3;8;4;5
59;3;8;4;5
60;1;8;1;5
61;0;8;2;5
62;1;8;1;5
63;0;8;2;5
64;3;8;1;5
65;0;8;1;5
66;0;8;1;5
67;0;8;3;5
68;4;8;4;5
69;1;8;5;5
70;5;8;4;5
71;2;8;5;5
72;7;8;4;5
73;1;8;4;5
74;3;8;4;5
75;3;8;5;5
76;4;8;4;5
77;1;8;5;5
78;5;8;4;5
79;2;8;5;5
80;8;8;4;5
81;1;8;4;5
82;3;8;4;5
83;3;8;4;5
84;1;8;1;5
85;0;8;2;5
86;1;8;1;5
87;0;8;2;5
88;2;8;1;5
89;1;8;4;5
90;3;8;4;5
91;3;8;4;5
92;1;8;1;5
93;0;8;2;5
94;1;8;1;5
95;0;8;2;5
96;3;8;1;5
97;0;8;1;5
98;0;8;1;5
99;0;8;3;5
100;4;8;4;5
101;1;8;5;5
102;5;8;4;5
103;2;8;5;5
104;7;8;4;5
105;1;8;4;5
106;3;8;4;5
107;3;8;5;5
108;4;8;4;5
109;1;8;5;5
110;5;8;4;5
111;2;8;5;5
112;8;8;4;5
113;1;8;4;5
114;3;8;4;5
115;3;8;4;5
116;1;8;1;5
117;0;8;2;5
118;1;8;1;5
119;0;8;2;5
120;2;8;1;5
121;1;8;4;5
122;3;8;4;5
123;3;8;4;5
124;1;8;1;5
125;0;8;2;5
126;1;8;1;5
127;0;8;2;5
128;4;8;1;5
129;0;8;1;5
130;0;8;1;5
131;0;8;2;5
132;1;8;1;5
133;0;8;2;5
134;1;8;1;5
135;0;8;2;5
136;2;8;1;5
137;1;8;4;5
138;3;8;4;5
139;3;8;4;5
140;1;8;1;5
141;0;8;2;5
142;1;8;1;5
143;0;8;2;5
144;2;8;1;5
145;1;8;4;5
146;3;8;4;5
147;3;8;5;5
148;4;8;4;5
149;1;8;5;5
150;5;8;4;5
151;2;8;5;5
152;7;8;4;5
153;1;8;4;5
154;3;8;4;5
155;3;8;5;5
156;4;8;4;5
157;1;8;5;5
158;5;8;4;5
159;2;8;5;5
160;9;9;4;5
161;0;9;1;5
162;0;9;1;5
163;0;9;3;5
164;4;9;4;5
165;1;9;5;5
166;5;9;4;5
167;2;9;5;5
168;7;9;4;5
169;1;9;4;5
170;3;9;4;5
171;3;9;5;5
172;4;9;4;5
173;1;9;5;5
174;5;9;4;5
175;2;9;5;5
176;8;9;4;5
177;1;9;4;5
178;3;9;4;5
179;3;9;5;5
180;4;9;4;5
181;1;9;5;5
182;5;9;4;5
183;2;9;5;5
184;7;9;4;5
185;1;9;4;5
186;3;9;4;5
187;3;9;5;5
188;4;9;4;5
189;1;9;5;5
190;5;9;4;5
191;2;9;5;5
192;10;10;4;5
193;0;10;1;5
194;0;10;1;5
195;0;10;3;5
196;4;10;4;5
197;1;10;5;5
198;5;10;4;5
199;2;10;5;5
200;7;10;4;5
201;1;10;4;5
202;3;10;4;5
203;3;10;5;5
204;4;10;4;5
205;1;10;5;5
206;5;10;4;5
207;2;10;5;5
208;8;10;4;5
209;1;10;4;5
210;3;10;4;5
211;3;10;5;5
212;4;10;4;5
213;1;10;5;5
214;5;10;4;5
215;2;10;5;5
216;7;10;4;5
217;1;10;4;5
218;3;10;4;5
219;3;10;5;5
220;4;10;4;5
221;1;10;5;5
222;5;10;4;5
223;2;10;5;5
224;9;10;4;5
225;0;10;1;5
226;0;10;1;5
227;0;10;3;5
228;4;10;4;5
229;1;10;5;5
230;5;10;4;5
231;2;10;5;5
232;7;10;4;5
233;1;10;4;5
234;3;10;4;5
235;3;10;5;5
236;4;10;4;5
237;1;10;5;5
238;5;10;4;5
239;2;10;5;5
240;8;10;4;5
241;1;10;4;5
242;3;10;4;5
243;3;10;5;5
244;4;10;4;5
245;1;10;5;5
246;5;10;4;5
247;2;10;5;5
248;7;10;4;5
249;1;10;4;5
250;3;10;4;5
251;3;10;5;5
252;4;10;4;5
253;1;10;5;5
254;5;10;4;5
255;2;10;5;5
256;12;12;4;5
257;0;12;1;5
258;0;12;1;5
