round;hashValues;leafValues
4096;10428;13568
8192;10428;13568
12288;10428;13568
16384;10428;13568
20480;10428;13568
24576;10428;13568
28672;10428;13568
32768;10428;13568
36864;10428;13568
40960;10428;13568
45056;10428;13568
49152;10428;13568
53248;10428;13568
57344;10428;13568
61440;10428;13568
