round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
32;64;2;2;0;0;0
64;64;2;2;0;0;0
96;64;2;2;0;0;0
128;64;2;2;0;0;0
160;64;2;2;0;0;0
192;64;2;2;0;0;0
224;64;2;2;0;0;0
256;64;2;2;0;0;0
288;64;2;2;0;0;0
320;64;2;2;0;0;0
352;64;2;2;0;0;0
384;64;2;2;0;0;0
416;64;2;2;0;0;0
448;64;2;2;0;0;0
480;64;2;2;0;0;0
512;64;2;2;0;0;0
544;64;2;2;0;0;0
576;64;2;2;0;0;0
608;64;2;2;0;0;0
640;64;2;2;0;0;0
672;64;2;2;0;0;0
704;64;2;2;0;0;0
736;64;2;2;0;0;0
768;64;2;2;0;0;0
800;64;2;2;0;0;0
832;64;2;2;0;0;0
864;64;2;2;0;0;0
896;64;2;2;0;0;0
928;64;2;2;0;0;0
960;64;2;2;0;0;0
992;64;2;2;0;0;0
1024;64;2;2;0;0;0
1056;64;2;2;0;0;0
1088;64;2;2;0;0;0
1120;64;2;2;0;0;0
1152;64;2;2;0;0;0
1184;64;2;2;0;0;0
1216;64;2;2;0;0;0
1248;64;2;2;0;0;0
1280;64;2;2;0;0;0
1312;64;2;2;0;0;0
1344;64;2;2;0;0;0
1376;64;2;2;0;0;0
1408;64;2;2;0;0;0
1440;64;2;2;0;0;0
1472;64;2;2;0;0;0
1504;64;2;2;0;0;0
1536;64;2;2;0;0;0
1568;64;2;2;0;0;0
1600;64;2;2;0;0;0
1632;64;2;2;0;0;0
1664;64;2;2;0;0;0
1696;64;2;2;0;0;0
1728;64;2;2;0;0;0
1760;64;2;2;0;0;0
1792;64;2;2;0;0;0
1824;64;2;2;0;0;0
1856;64;2;2;0;0;0
1888;64;2;2;0;0;0
1920;64;2;2;0;0;0
1952;64;2;2;0;0;0
1984;64;2;2;0;0;0
2016;64;2;2;0;0;0
2048;64;2;2;0;0;0
