round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
8;206;34;34;69;16;16
16;199;29;34;63;12;16
24;206;30;34;69;12;16
32;193;32;34;58;14;16
40;206;31;34;69;13;16
48;199;31;34;63;13;16
56;203;31;34;66;13;16
64;191;32;34;57;14;16
72;206;32;34;69;14;16
80;199;30;34;63;12;16
88;204;30;34;67;12;16
96;195;31;34;60;13;16
104;204;31;34;67;13;16
112;199;31;34;63;13;16
120;205;32;34;68;14;16
128;187;30;34;54;12;16
136;206;33;34;69;15;16
144;199;29;34;63;11;16
152;205;30;34;68;12;16
160;194;31;34;59;13;16
168;205;31;34;68;13;16
176;199;30;34;63;12;16
184;204;31;34;67;13;16
192;191;31;34;57;13;16
200;205;32;34;68;14;16
208;199;30;34;63;12;16
216;205;31;34;68;13;16
224;194;30;34;59;12;16
232;205;32;34;68;14;16
240;199;30;34;63;12;16
248;205;31;34;68;13;16
256;184;29;34;52;11;16
264;181;30;34;60;14;16
272;175;26;34;55;10;16
280;181;27;34;60;11;16
288;170;28;34;51;12;16
296;181;28;34;60;12;16
304;175;27;34;55;11;16
312;179;27;34;58;11;16
320;168;28;34;50;12;16
328;181;29;34;60;13;16
336;175;26;34;55;10;16
344;180;27;34;59;11;16
352;171;27;34;52;11;16
360;180;28;34;59;12;16
368;175;27;34;55;11;16
376;180;28;34;59;12;16
384;165;27;34;48;11;16
392;156;26;34;51;12;16
400;151;23;34;47;9;16
408;156;24;34;51;10;16
416;147;24;34;44;10;16
424;156;25;34;51;11;16
432;151;23;34;47;9;16
440;155;24;34;50;10;16
448;145;24;34;43;10;16
456;131;22;34;42;10;16
464;127;20;34;39;8;16
472;131;21;34;42;9;16
480;124;20;34;37;8;16
488;106;18;34;33;8;16
496;103;17;34;31;7;16
504;81;14;34;24;6;16
512;42;10;34;10;4;16
