round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
8;64;10;10;17;4;4
16;63;9;10;16;3;4
24;64;9;10;17;3;4
32;62;9;10;15;3;4
40;64;9;10;17;3;4
48;63;9;10;16;3;4
56;63;9;10;16;3;4
64;60;10;10;14;4;4
72;64;10;10;17;4;4
80;63;9;10;16;3;4
88;64;9;10;17;3;4
96;62;9;10;15;3;4
104;64;9;10;17;3;4
112;63;9;10;16;3;4
120;63;9;10;16;3;4
128;60;10;10;14;4;4
136;64;10;10;17;4;4
144;63;9;10;16;3;4
152;64;9;10;17;3;4
160;62;9;10;15;3;4
168;64;9;10;17;3;4
176;63;9;10;16;3;4
184;63;9;10;16;3;4
192;60;10;10;14;4;4
200;64;10;10;17;4;4
208;63;9;10;16;3;4
216;64;9;10;17;3;4
224;62;9;10;15;3;4
232;64;9;10;17;3;4
240;63;9;10;16;3;4
248;63;9;10;16;3;4
256;60;10;10;14;4;4
264;64;10;10;17;4;4
272;63;9;10;16;3;4
280;64;9;10;17;3;4
288;62;9;10;15;3;4
296;64;9;10;17;3;4
304;63;9;10;16;3;4
312;63;9;10;16;3;4
320;60;10;10;14;4;4
328;64;10;10;17;4;4
336;63;9;10;16;3;4
344;64;9;10;17;3;4
352;62;9;10;15;3;4
360;64;9;10;17;3;4
368;63;9;10;16;3;4
376;63;9;10;16;3;4
384;60;10;10;14;4;4
392;64;10;10;17;4;4
400;63;9;10;16;3;4
408;64;9;10;17;3;4
416;62;9;10;15;3;4
424;64;9;10;17;3;4
432;63;9;10;16;3;4
440;63;9;10;16;3;4
448;60;10;10;14;4;4
456;39;6;10;8;2;4
464;39;6;10;8;2;4
472;39;6;10;8;2;4
480;39;6;10;8;2;4
488;39;6;10;8;2;4
496;39;6;10;8;2;4
504;39;6;10;8;2;4
512;16;2;10;0;0;4
