timePerAuthStep
2925583
2843400
2857927
2871294
2860452
2851240
2859122
2826349
2853343
2874267
2859754
2847810
2878091
2851075
2854887
2848594
2869860
2838925
2855187
2854805
2867654
2853773
2855420
2872881
2857856
2866428
2880419
2862509
2856938
2885849
2851639
2853445
2855563
2869383
2852341
2853510
2869176
2853719
2850910
2858667
2855651
2862411
2856728
2859863
2852096
2843839
2848542
2867842
2906849
2848562
2866732
2853328
2855397
2853477
2852936
2862882
2854802
2861986
2853787
2852773
2844897
2876030
2853850
2400260
