timePerInitStep
1834120
1830347
1825437
1818331
1820424
1840098
1833291
1832955
1828923
1825105
1826601
1827907
1828344
1816010
1824129
1825397
1832498
1823809
1822835
1823407
1823503
1825477
1825863
1829836
1816145
1820533
1823480
1831864
1820549
1825163
1829724
1816499
1822875
1816109
1818745
1814683
1818342
1818444
1838442
1810613
1819860
1817318
1818667
1821842
1821950
1824037
1845819
1819531
1829078
1826760
1820231
1820952
1824409
1819766
1835605
1820881
1817833
1821460
1818618
1833923
1824927
1818508
1822603
