timePerInitStep
1889811;7559244
1844140;7376561
1897379;7589519
1852094;7408376
1886731;7546927
1835288;7341152
1813479;7253917
1827719;7310877
1849657;7398628
1803601;7214404
1795776;7183104
1811298;7245195
1737533;6950133
1788976;7155905
2000523;8002094
1965372;7861490
1795775;7183103
1798341;7193365
1814634;7258537
1781407;7125631
1732144;6928578
1744204;6976817
1753312;7013250
1717520;6870080
1780637;7122551
1798726;7194906
1720342;6881370
1790901;7163604
2000138;8000555
1955879;7823516
1818354;7273417
1762549;7050196
1804499;7217997
1788848;7155392
1738431;6953724
1761779;7047117
1754723;7018894
1736506;6946025
1745615;6982461
1718675;6874700
1805140;7220561
1811683;7246734
1841061;7364244
1845295;7381181
1874159;7496639
1870696;7482785
1868002;7472008
1844268;7377074
1865436;7461746
1849528;7398112
1879034;7516139
1805525;7222103
1834133;7336535
1737789;6951158
1772299;7089196
1974609;7898436
1851324;7405297
2019510;8078042
1822074;7288299
1848502;7394008
1874929;7499717
1878136;7512545
1869285;7477140
