timePerAuthStepAvg;timePerAuthStepSum
1072616;4290465
1048241;4192965
1061327;4245308
1047215;4188860
1176529;4706117
1240673;4962694
1173065;4692263
1504177;6016709
1033616;4134467
1043879;4175518
1032462;4129848
1031435;4125743
1028998;4115993
1033360;4133440
1031179;4124717
1030665;4122663
1041057;4164229
1031307;4125230
1029767;4119071
1037850;4151402
1033103;4132413
1015656;4062626
1047856;4191425
1028870;4115480
1037208;4148834
1030665;4122663
1029383;4117534
1034258;4137033
1028485;4113941
1013860;4055442
1034258;4137033
1038106;4152427
1035413;4141652
1085445;4341780
1056323;4225294
1055169;4220677
1041826;4167307
1129833;4519332
1081981;4327925
1004880;4019520
1062609;4250439
1035797;4143190
1034129;4136519
1017195;4068783
981916;3927666
988844;3955376
988074;3952298
1018222;4072888
997568;3990272
982301;3929204
978196;3912784
978068;3912273
1022327;4089310
1036695;4146782
994232;3976928
980120;3920480
995643;3982572
1017965;4071862
1031435;4125743
1034258;4137032
991538;3966153
989100;3956400
1032975;4131900
1039517;4158071
