timePerAuthStepAvg;timePerAuthStepSum
8963837;143421392
8147636;130362185
8512872;136205962
8097636;129562178
8429228;134867657
8506939;136111027
8193627;131098044
7928584;126857356
8649819;138397117
8155109;130481747
8631570;138105134
8046160;128738570
8350523;133608382
8280703;132491249
8410947;134575160
7961169;127378716
8553315;136853041
8313448;133015179
8562167;136994673
7864601;125833616
8798601;140777628
8345841;133533465
8411460;134583371
7998533;127976537
8389555;134232888
8230831;131693300
8366335;133861365
7959245;127347924
8315084;133041347
8181247;130899966
8449883;135198129
7699590;123193447
8450171;135202746
8113896;129822344
8426245;134819934
7861361;125781787
8442346;135077536
8185577;130969240
8330254;133284072
7822137;125154203
8388336;134213386
8107289;129716639
8289939;132639038
8063479;129015671
8369735;133915761
8150202;130403236
8571179;137138868
7838301;125412829
6561258;104980142
6499135;103986167
6554491;104871868
6211064;99377034
6499969;103999507
6466678;103466854
6560457;104967313
6138197;98211153
6522227;104355634
6404522;102472363
6480886;103694182
6314753;101036053
4641332;74261320
4654642;74474274
4693770;75100322
2398408;38374534
