timePerAuthStepAvg;timePerAuthStepSum
13682759;14011145655
13628596;13955682656
13729499;14059007360
13638684;13966013406
13662091;13989981236
13618961;13945816766
13694768;14023442846
13650264;13977871353
13651029;13978654399
13635927;13963190074
13627459;13954518300
13727785;14057252371
13637237;13964530926
13638390;13965712201
13659290;13987113722
13623172;13950128307
13749522;14079510843
13613561;13940287047
13584595;13910625329
13648053;13975606321
13689086;14017624734
13648138;13975693512
13599570;13925960380
13659523;13987352325
13616452;13943247417
13726663;14056102919
13603416;13929898797
13640167;13967531322
13603667;13930155396
13574190;13899971270
13727971;14057443263
13611078;13937743872
13631703;13958864186
13614708;13941461141
13690875;14019456677
13699120;14027899557
13655906;13983647906
13618210;13945047048
13634290;13961513599
13766008;14096393060
13672494;14000634773
13661627;13989507057
13649674;13977266849
13628884;13955977222
13737199;14066892450
13616146;13942934388
13631970;13959137712
13652781;13980447862
11848687;12133056245
11917127;12203138968
11814111;12097650274
11799291;12082474813
11824185;12107965672
11802852;12086121305
11941074;12227659907
11814400;12097946340
11823663;12107430941
11852741;12137207654
11826663;12110503713
11816524;12100121112
10173327;10417487202
10009532;10249760868
10023104;10263658585
7599600;7781990433
