timePerAuthStepAvg;timePerAuthStepSum
3360889;13443559
2921247;11684988
3318041;13272166
1950363;7801452
3427214;13708858
2866595;11466382
3353192;13412771
1947155;7788622
3307907;13231628
2856332;11425330
3338054;13352219
1971787;7887148
3336643;13346573
2863901;11455607
3754220;15016882
2250556;9002227
3597452;14389810
2970766;11883064
3431191;13724766
2114571;8458285
3918044;15672178
3455309;13821237
3536644;14146577
1989105;7956423
3374616;13498466
3999892;15999570
3932669;15730677
3130740;12522963
5334216;21336865
3046969;12187876
3372307;13489229
2051581;8206327
3422339;13689358
2918937;11675749
3398221;13592886
2002960;8011843
3339465;13357862
2953831;11815327
3430422;13721688
2045809;8183237
3310600;13242403
2852997;11411989
3281992;13127970
1870183;7480732
3250177;13000708
2791290;11165163
3160888;12643553
2020536;8082145
3691615;14766463
3270702;13082811
3340106;13360427
1954596;7818385
3253897;13015589
2745491;10981967
3295591;13182365
1964217;7856871
3533822;14135289
3080965;12323861
3245686;12982746
1890451;7561807
1071846;4287386
1034899;4139599
987689;3950759
996541;3986165
