timePerAuthStepAvg;timePerAuthStepSum
10492204;671501072
10127778;648177801
10219528;654049797
10054244;643471678
10170329;650901091
9968524;637985568
10059336;643797528
10011148;640713490
10142378;649112252
10075252;644816143
10080736;645167130
10062992;644031523
10126206;648077221
10123680;647915582
10174025;651137653
9974225;638350418
10143581;649189221
10147077;649412953
10102722;646574208
10031578;642020993
10152818;649780377
10114091;647301847
10117266;647505053
10007443;640476412
10181322;651604632
10124210;647949445
10192387;652312777
10056987;643647180
10166368;650647603
10104333;646677339
10170882;650936503
9924409;635162211
10084240;645391376
10012222;640782247
10169094;650822070
10075588;644837689
10195081;652485198
10066047;644227036
10130423;648347130
10053595;643430105
10156089;649989734
10135507;648672474
10131747;648431809
10029341;641877829
10113834;647285424
10105119;646727628
10113922;647291068
9953202;637004937
8351526;534497679
8254179;528267496
8363601;535270483
8228834;526645421
8341704;533869063
8249352;527958578
8323342;532693946
8228738;526639265
8342361;533911142
8281176;529995281
8336813;533556038
8176557;523299665
6459574;413412771
6451604;412902696
6430821;411572607
4090359;261782999
