round;minSpace;maxSpace
32;2019;2050
64;1987;2020
96;1956;1988
128;1923;1957
160;1893;1924
192;1860;1894
224;1829;1861
256;1795;1830
288;1765;1796
320;1733;1766
352;1702;1734
384;1668;1703
416;1638;1669
448;1605;1639
480;1574;1606
512;1539;1575
544;1509;1540
576;1477;1510
608;1446;1478
640;1413;1447
672;1383;1414
704;1350;1384
736;1319;1351
768;1284;1320
800;1254;1285
832;1222;1255
864;1191;1223
896;1157;1192
928;1127;1158
960;1094;1128
992;1063;1095
1024;1026;1064
1056;996;1027
1088;964;997
1120;933;965
1152;900;934
1184;870;901
1216;837;871
1248;806;838
1280;772;807
1312;742;773
1344;710;743
1376;679;711
1408;645;680
1440;615;646
1472;582;616
1504;551;583
1536;515;552
1568;485;516
1600;453;486
1632;422;454
1664;389;423
1696;359;390
1728;326;360
1760;295;327
1792;260;296
1824;230;261
1856;198;231
1888;167;199
1920;133;168
1952;103;134
1984;70;104
2016;39;71
