rounds;minSpace;maxSpace
1;18;19
2;19;20
3;19;20
4;19;21
5;19;21
6;20;22
7;20;21
8;19;22
9;19;21
10;21;22
11;21;22
12;20;23
13;20;22
14;21;23
15;21;22
16;19;23
17;19;20
18;20;23
19;21;24
20;22;25
21;22;24
22;22;27
23;22;23
24;20;24
25;20;22
26;22;23
27;22;23
28;21;24
29;21;23
30;22;24
31;22;23
32;19;24
33;19;20
34;20;23
35;21;24
36;22;25
37;22;24
38;22;27
39;22;23
40;21;24
41;21;23
42;23;24
43;23;24
44;22;25
45;22;24
46;23;25
47;23;24
48;20;25
49;20;21
50;21;24
51;22;25
52;23;26
53;23;25
54;23;28
55;23;24
56;21;25
57;21;23
58;23;24
59;23;24
60;22;25
61;22;24
62;23;25
63;23;24
64;19;25
65;19;20
66;20;21
67;20;21
68;20;22
69;20;22
70;21;23
71;21;24
72;21;26
73;21;23
74;23;26
75;24;27
76;23;27
77;23;25
78;24;28
79;24;27
80;21;29
81;21;22
82;22;25
83;23;26
84;24;27
85;24;26
86;24;29
87;24;27
88;23;29
89;23;25
90;25;28
91;26;29
92;25;29
93;25;27
94;26;30
95;26;29
96;20;31
97;20;21
98;21;24
99;22;25
100;23;26
101;23;25
102;23;28
103;23;24
104;22;25
105;22;24
106;24;25
107;24;25
108;23;26
109;23;25
110;24;26
111;24;25
112;21;26
113;21;22
114;22;25
115;23;26
116;24;27
117;24;26
118;24;29
119;24;25
120;22;26
121;22;24
122;24;25
123;24;25
124;23;26
125;23;25
126;24;26
127;24;25
128;19;26
129;19;20
130;20;21
131;20;21
132;20;22
133;20;22
134;21;23
135;21;24
136;21;26
137;21;23
138;23;26
139;24;27
140;23;27
141;23;25
142;24;28
143;24;27
144;21;29
145;21;22
146;22;25
147;23;26
148;24;27
149;24;26
150;24;29
151;24;27
152;23;29
153;23;25
154;25;28
155;26;29
156;25;29
157;25;27
158;26;30
159;26;29
160;21;31
161;21;22
162;22;25
163;23;26
164;24;27
165;24;26
166;24;29
167;24;25
168;23;26
169;23;25
170;25;26
171;25;26
172;24;27
173;24;26
174;25;27
175;25;26
176;22;27
177;22;23
178;23;26
179;24;27
180;25;28
181;25;27
182;25;30
183;25;26
184;23;27
185;23;25
186;25;26
187;25;26
188;24;27
189;24;26
190;25;27
191;25;26
192;20;27
193;20;21
194;21;22
195;21;22
196;21;23
197;21;23
198;22;24
199;22;25
200;22;27
201;22;24
202;24;27
203;25;28
204;24;28
205;24;26
206;25;29
207;25;28
208;22;30
209;22;23
210;23;26
211;24;27
212;25;28
213;25;27
214;25;30
215;25;28
216;24;30
217;24;26
218;26;29
219;27;30
220;26;30
221;26;28
222;27;31
223;27;30
224;21;32
225;21;22
226;22;25
227;23;26
228;24;27
229;24;26
230;24;29
231;24;25
232;23;26
233;23;25
234;25;26
235;25;26
236;24;27
237;24;26
238;25;27
239;25;26
240;22;27
241;22;23
242;23;26
243;24;27
244;25;28
245;25;27
246;25;30
247;25;26
248;23;27
249;23;25
250;25;26
251;25;26
252;24;27
253;24;26
254;25;27
255;25;26
256;19;27
257;19;20
258;20;21
259;20;21
260;20;22
261;20;22
262;21;23
263;21;22
264;20;23
265;20;22
266;22;23
267;22;23
268;21;24
269;21;23
270;22;24
271;22;23
272;20;24
273;20;21
274;21;24
275;22;25
276;23;26
277;23;25
278;23;28
279;23;24
280;21;25
281;21;23
282;23;24
283;23;24
284;22;25
285;22;24
286;23;25
287;23;24
288;20;25
289;20;21
290;21;24
291;22;25
292;23;26
293;23;25
294;23;28
295;23;26
296;23;28
297;23;25
298;25;28
299;26;29
300;25;29
301;25;27
302;26;30
303;26;29
304;22;31
305;22;23
306;23;26
307;24;27
308;25;28
309;25;27
310;25;30
311;25;28
312;24;30
313;24;26
314;26;29
315;27;30
316;26;30
317;26;28
318;27;31
319;27;30
320;21;32
321;21;22
322;22;23
323;22;23
324;22;24
325;22;24
326;23;25
327;23;26
328;23;28
329;23;25
330;25;28
331;26;29
332;25;29
333;25;27
334;26;30
335;26;29
336;23;31
337;23;24
338;24;27
339;25;28
340;26;29
341;26;28
342;26;31
343;26;29
344;25;31
345;25;27
346;27;30
347;28;31
348;27;31
349;27;29
350;28;32
351;28;31
352;22;33
353;22;23
354;23;26
355;24;27
356;25;28
357;25;27
358;25;30
359;25;28
