round;minSpace;maxSpace
512;32257;32768
1024;31745;32258
1536;31234;31746
2048;30721;31235
2560;30211;30722
3072;29698;30212
3584;29187;29699
4096;28673;29188
4608;28163;28674
5120;27651;28164
5632;27140;27652
6144;26626;27141
6656;26116;26627
7168;25603;26117
7680;25092;25604
8192;24577;25093
8704;24067;24578
9216;23555;24068
9728;23044;23556
10240;22531;23045
10752;22021;22532
11264;21508;22022
11776;20997;21509
12288;20482;20998
12800;19972;20483
13312;19460;19973
13824;18949;19461
14336;18435;18950
14848;17925;18436
15360;17412;17926
15872;16901;17413
16384;16384;16902
16896;15874;16385
17408;15362;15875
17920;14851;15363
18432;14338;14852
18944;13828;14339
19456;13315;13829
19968;12804;13316
20480;12290;12805
20992;11780;12291
21504;11268;11781
22016;10757;11269
22528;10243;10758
23040;9733;10244
23552;9220;9734
24064;8709;9221
24576;8193;8710
25088;7683;8194
25600;7171;7684
26112;6660;7172
26624;6147;6661
27136;5637;6148
27648;5124;5638
28160;4613;5125
28672;4098;4614
29184;3588;4099
29696;3076;3589
30208;2565;3077
30720;2051;2566
31232;1541;2052
31744;1028;1542
32256;517;1029
